product,comments,website,Label
kylie Highlighter,"brows….snatched
Totally makes a difference after doing my brows. Can’t go back to not highlighting under the brow now. So worth it!

",kylie cosmetics,positive
kylie Highlighter,"love this
The best highlighter I’ve used for my brows it stays on all day",kylie cosmetics,positive
kylie Highlighter,"highlighter obsessed!
I LOVE this highlighter! It is absolutely gorgeous and goes on soooo smooth!!! And the shine, my god it’s stunning! You can really see the highlight and the shimmer. I was shocked when I first tried it. I couldn’t believe the shimmer and how it accentuated my brows. Kylie really is the GOAT when it comes to brows. I will forever be purchasing this highlighter and I’m different shades as well!",kylie cosmetics,positive
kylie Highlighter,"easy to blend.
I love it. It's so creamy and easy to blend and a little goes a long way!",kylie cosmetics,positive
kylie Highlighter,"great highlight stick
Love it - gives such a beautiful highlight to my brow bone and allows for a precise application. I apply it on and smudge it out a bit with a small eyebrow brush. Makes my eyebrows look so put together! I also use in the inner corners, tip of nose etc",kylie cosmetics,positive
kylie Highlighter,"loved it
I loved kylie product . I buy alot of product from kylie its never disappoint me",kylie cosmetics,positive
kylie Highlighter,"love the color
Love the look this gives my eyebrows! Very easily applied . Love the Auburn shade I always have a hard time with this because usually they make it so red but this is the perfect shade",kylie cosmetics,positive
kylie Highlighter,"best eyebrow pencil!
I love these eyebrow pencil, it goes on so smoothly and is so easy to blend. My eye lids are kind of a different color than the rest of my face so this eyebrow pencil perfectly matched everything. I highly recommend!!",kylie cosmetics,positive
kylie Highlighter,"perfect
Really nice. I used also as a pencil for my eyes And it is not hard",kylie cosmetics,positive
kylie Highlighter,"the princess please is awesome
I bought this and now it's my everyday go and use it every day.On my makeoffs, it looks great.The color is amazing.I would charge it as soon as possible",kylie cosmetics,positive
kylie Highlighter,"very pretty, shines! can’t wait to wear it all day
Rose gold is really pretty color. Goes with a lot.

",kylie cosmetics,positive
kylie Highlighter,"princess please !
perfect pink princess ?? its my perfect shade highlighter",kylie cosmetics,positive
kylie Highlighter,"in love
I’m in love with this product. The packaging is super minimal while also having a bright accent drawing your eye to the product. There is no scent to the product which is always nice to see. The texture is nice and creamy and not chalky like some other highlighters.",kylie cosmetics,positive
kylie Highlighter,"pigmented beyong belief
its my perfect winter shade highlighter, applies smoothly and doesn’t lift makeup underneath. super pigmented and glodes on easily. packaging is great for travel!",kylie cosmetics,positive
kylie Highlighter,"it suit for people who is simple and like a natural glow
This highlighter is so far one of the best as it gives you the natural glow,",kylie cosmetics,positive
kylie Highlighter,"icy glow
Lets talk about shimmer! My new daily glow companion",kylie cosmetics,positive
kylie Highlighter,"natural glow and high quality
This is the first Kylie product I have gotten, and was shocked by the high quality, both the pleasant packaging and the product itself. ",kylie cosmetics,positive
kylie Highlighter,"very nice
I bought this few weeks ago and really loved it ?? it’s just what i expected and very nice quality and lighting",kylie cosmetics,positive
kylie Highlighter,"cute
Very very pigmented ! Gives you a dewy glow ish look to the skin! Great use for high liter or even as a base mixed with sunscreen for a shiny tint over the summer!",kylie cosmetics,positive
kylie Highlighter,"pigmented and easy to blend
This highlighter is sooo pretty. I gifted it to my sister because she has more olive toned skin and I thought it would look best on her, and it does!! It’s really blendable and the pigmentation is so good! Texture is soft and smooth!",kylie cosmetics,positive
kylie Highlighter,"glow!
OMG. Everyone knows I love highlighters. Kylie highlight is very pigmented. You all would love it",kylie cosmetics,positive
kylie Highlighter,"bester highlighter auf dem markt !!
Schönstes packaging ever !!! Die Textur des highlighters ist sehr geschmeidigt und das Endergebnis perfekt. Das ist absolut mein Lieblingshighlighter. Man kann ihn perfekt verblenden und in der Sonne sieht er noch besser aus ??",kylie cosmetics,positive
kylie Highlighter,"amazing!
Amazing highlighter. So shimmery it's gorgeous in the sunlight. Just need a tiny little amount so definitely will last a good while.",kylie cosmetics,positive
kylie Highlighter,"pigmented and very illuminating on the face
I tried this pink shade of highlighter and it gave me a nice finish of my make up, it doesn’t feel heavy at all. The colour is appearing and shiny. I recommend it!

",kylie cosmetics,positive
kylie Highlighter,"good powder
Kylie cosmetics ice me out Kylighter Illuminating powder is an excellent choice for those who want a multi-purpose highlighter that can be used on various parts of the face, such as the cheeks, the nose, and the cupid's bow.",kylie cosmetics,positive
kylie Highlighter,"kylie ice me out
highlighter is okey but not the best but still amazing. The formula applies really nicely, doesn't patch over dry skin and does not showcase textured skin and The packaging and blendability of this product is amazing.",kylie cosmetics,positive
kylie Highlighter,"great highlighter
I bought this highlighter in the store and when I used it the formal was very smooth and soft. The color is amazing it’s a nice like goldfish color.",kylie cosmetics,positive
kylie Highlighter,"??????
PLZ TAKE MY MONEY ?????? im in love i have used these since they where released and i put everyone on to them I love how the packaging is small and compact but hold so much product. ",kylie cosmetics,positive
kylie Highlighter,"best highlighter!
I love it because it has just enough shimmer and lasts all day long.",kylie cosmetics,positive
kylie Highlighter,"best highlighter ever!
This is so pretty, glowing and long lasting highlighter. I’ve used different highlighter brands but this is the best!",kylie cosmetics,positive
kylie Highlighter,"best highlight ever !
This Highlight is my Hands down favorite !!! The packaging and blendability of this product is amazing !!! It has very bright pigmentation and is my Fav!!!",kylie cosmetics,positive
kylie Highlighter,"my favorite highligther!
I have used this highlighter since it first came out. So long ago, I don't even remember! It has lasted me so long and is the only highlighter I will wear! Totally recommend!",kylie cosmetics,positive
kylie Highlighter,"i love this highlighter
I love the Kylie Cosmetics Kylighter. Its intense pigmentation and long-lasting glow make it a standout product in my makeup routine. Though the packaging feels a bit cheap for the price, the quality and variety of shades justify the cost. Highly recommended for anyone seeking a radiant highlight.",kylie cosmetics,positive
kylie Highlighter,"really shines highlighter
Love the shine on this highlighter and how easy it goes on the face. The texture it amazing and doesn’t feel weird on the face. The packaging is very nice and easy to use.",kylie cosmetics,positive
kylie Highlighter,"great highlight
I bought this at Ulta and I absolutely love it. it’s been my favorite highlighter for months and it’s such a perfect shade and inner corner highlight.

",kylie cosmetics,positive
kylie Highlighter,"amazing
This is amazing I use it every single day and it makes me look like a million dollars thank Kylie jenner.",kylie cosmetics,positive
kylie Highlighter,"amazingggg
I have bought this multiple times and it has NEVER failed me i absolutely love it so much, it also lasts a while!!!",kylie cosmetics,positive
kylie Highlighter,"the best highliter
I got this a few months ago on my birthday and since then I use the highliter every day!!! Its the best

",kylie cosmetics,positive
kylie Highlighter,"my favorite highlighter!
This is my favorite highlighter, the pigmentation is perfect. The texture feels amazing, I love doing swatches and the packaging is super cute!",kylie cosmetics,positive
kylie Highlighter,"very pretty
Has a radiant finish, providing a subtle glow to enhance your complexion. It comes in various shades, allowing you to choose one that complements your skin tone.",kylie cosmetics,positive
kylie Highlighter,"super glowy
I bought last month and have used it everyday ever since, super nice color and goes very well with any makeup look!",kylie cosmetics,positive
kylie Highlighter,"amazing
Love love love this product. It’s so shiny and looks so good on my skin. It blends with my other makeup very well, and the pigment is STUNNING. Very smooth application and the packaging is simple yet chic!",kylie cosmetics,positive
kylie Highlighter,"long lasting with great illumination!
I love Kylie cosmetics! This hilighter really stands out. I apply to cheekbones and it accentuates them beautifully. It gives them a nice glow.",kylie cosmetics,positive
kylie Highlighter,"best highlighter i’ve ever used
This is seriously my favorite highlighter ever. I have tried so many other brands and none of them compare to this one. The color is beautiful for all skin tones & it elevates your makeup so much! I can’t get enough of it.",kylie cosmetics,positive
kylie Highlighter,"pigment
This highlighter is so so pretty the feeling it gives me when I put it on is amazing I use this everyday it is so pigmented and sparkly. It blends well on foundation",kylie cosmetics,positive
kylie Highlighter,"so bright and shiney
The pigmentation is a sharp ice white and it goes on smoothly and blends well into my blush and contour. It leaves my face feeling matte and the finish product is smooth as the packaging is cute and pink w a mirror for traveling or reapplying",kylie cosmetics,positive
kylie Highlighter,"stunning
Wow! Blinding highlighter! It is so beautiful! It seems really hard pressed so I was unsure about it but once trying it, it is so gorgeous. Very blinging. Not big sparkles in it which I like",kylie cosmetics,positive
kylie Highlighter,"love this product ???
Kylighter illuminating powder has a smooth and finely milled texture. It designed to impart a luminous, radiant finish to the skin without emphasizing texture.",kylie cosmetics,positive
kylie Highlighter,"light and gorgeous
I love that this is a powder and not in a stick that feels wet, I tent to break out easily and I did not with this! Nice and light and beautiful finish.",kylie cosmetics,positive
kylie Highlighter,"amazing but so expensive
I got this ages ago and looks really nice but it's so expensive. If you don't mind this, this is a must have!",kylie cosmetics,positive
kylie Highlighter,"blinding my ex
This highlighter is sooo gorgeous I’m literally blinding my ex at the bar

",kylie cosmetics,positive
kylie Highlighter,"i love
nice texture. I love Kylie products.I recommend.the best highlighter",kylie cosmetics,positive
kylie Highlighter,"great product!
I love this for my everyday wear. I work at a restaurant and it still shiny even after my shift. Love!",kylie cosmetics,positive
kylie Highlighter,"loved it
I loved kylie product . I buy alot of product from kyie its never disappoint me",kylie cosmetics,positive
kylie Highlighter,"great shine, nice highlights - goes well w/blush.
Great shine, nice highlights- goes well with blush",kylie cosmetics,positive
kylie Highlighter,"this highlighter is amazing.
I use this product every day it stays on all day and it looks amazing.",kylie cosmetics,positive
kylie Highlighter,"so pigmented!
I bought this product a couple of weeks ago and I am so satisfied! The formula is so easy to blend and pigmented!",kylie cosmetics,positive
kylie Highlighter,"amazing illuminating powder ever
This highlight is simply stunning! recently had the pleasure of trying the Kylighter Illuminating Powder, and let me just say, it has completely transformed my makeup game.",kylie cosmetics,positive
kylie Highlighter,"pigment. does. not. play!!!!!!
i’ve had my ice me out highlight for 1 1/2 years now and i haven’t even hit pan, because all you need is a very little amount. Honestly my favorite highlighter by far.",kylie cosmetics,positive
kylie Highlighter,"pigment. does. not. play!!!!!!
i’ve had my ice me out highlight for 1 1/2 years now and i haven’t even hit pan, because all you need is a very little amount. Honestly my favorite highlighter by far.",kylie cosmetics,positive
kylie Highlighter,"pigment. does. not. play!!!!!!
i’ve had my ice me out highlight for 1 1/2 years now and i haven’t even hit pan, because all you need is a very little amount. Honestly my favorite highlighter by far.",kylie cosmetics,positive
kylie Highlighter,"pigment. does. not. play!!!!!!
i’ve had my ice me out highlight for 1 1/2 years now and i haven’t even hit pan, because all you need is a very little amount. Honestly my favorite highlighter by far.",kylie cosmetics,positive
kylie Highlighter,"pigment. does. not. play!!!!!!
i’ve had my ice me out highlight for 1 1/2 years now and i haven’t even hit pan, because all you need is a very little amount. Honestly my favorite highlighter by far.",kylie cosmetics,positive
kylie Highlighter,"pigment. does. not. play!!!!!!
i’ve had my ice me out highlight for 1 1/2 years now and i haven’t even hit pan, because all you need is a very little amount. Honestly my favorite highlighter by far.",kylie cosmetics,positive
kylie Highlighter,"pigment. does. not. play!!!!!!
i’ve had my ice me out highlight for 1 1/2 years now and i haven’t even hit pan, because all you need is a very little amount. Honestly my favorite highlighter by far.",kylie cosmetics,positive
