product name ,comment,website name,label
Vitamin c serum,"This is so nice once it soaks into your skin makes it feel fresh & smooth, definitely will be buying again",Kylie cosmetics,positive
Vitamin c serum,"Smells a little funny, but I am absolutely happy with the results of using this product.",kylie cosmetics,positive
Vitamin c serum,"I really love this , it' feels very clean, makes skin smooth and shiny after using it aftercleanser I use day and night my skin looks healthy with a nice glow",Kylie cosmetics,positive
Vitamin c serum,This serum is perfectly lightweight and can go under any moisturizer! It will totally enhance any skin care routine and can also be worn as is on super humid summer days!,Kylie cosmetics,positive
Vitamin c serum, love this vitamin c serum! I was hesitant to buy Kylie’s brand but I love her products! This serum makes my skin so smooth and moisturized.,Kylie cosmetics,positive
Vitamin c serum,"Great for hydration and brightness the skin, while looking smooth",Kylie cosmetics,positive
Vitamin c serum,Vitamin C serum works so well for my skin as it helps brighten my complexion and gives me a nice glow,Kylie cosmetics,positive
Vitamin c serum,"l really recommend this serum, l combinate it with ROYAL P5 NECTAR CONCENTRATE from agestop",Kylie cosmetics,positive
Vitamin c serum,"When I first started implementing serums in my routine, this was the first vitamin C serum I tried.",Kylie cosmetics,positive
Vitamin c serum, loveeee the vitamin C serum its best paired in conjunction with the hyluronic acid serum thats when i notice the best outcomes!,Kylie cosmetics,positive
Vitamin c serum,"Love this serum, brightens the skin and leaves it glowing, can see a difference under my make up.",Kylie cosmetics,positive
Vitamin c serum,Kylie Cosmetics Vitamin C Serum has amazing brightening effects on the skin and i’ve been using for years. ,Kylie cosmetics,positive
Vitamin c serum,"When I bought this serum and used it for the first time I was so amazed, especially when I became consistent using it.",Kylie cosmetics,positive
Vitamin c serum,Got this serum in a bundle and ever since I have been using it on my skin it smoothed and made my skin even.,Kylie cosmetics,positive
Vitamin c serum,I have been using Kylie Skin for a year now and I will never use anything else again.,Kylie cosmetics,positive
Vitamin c serum,"This is my favorite vit C formula. It’s not tacky like others I’ve used. It’s got a lotion consistency, & absorbs really fast.",Kylie cosmetics,positive
Vitamin c serum,I'm really loving the Kylie Jenner products. Just purchased this Vitamin C Serum because my face is always dry and I was looking for something that would work with my foundation. ,Kylie cosmetics,positive
Vitamin c serum,It really makes my entire face and neck feel so much softer and moisturized. Very happy with this product and I highly recommend it.,Kylie cosmetics,positive
Vitamin c serum,It's smooth to go on and I like this product very much.,Kylie cosmetics,positive
Vitamin c serum,"Great texture, my favourite serum, sure wish it was cheaper.",Kylie cosmetics,positive
Vitamin c serum,"Great vitamin C serum, it doesn’t pill and goes on smoothly.",Kylie cosmetics,positive
Vitamin c serum,Keeps my skin tight and fresh. I wish i could use it on my whole body! Like an instant lift!,Kylie cosmetics,positive
Vitamin c serum,Makes my face feel super hydrated and clean. Love it!,Kylie cosmetics,positive
Vitamin c serum,"Love this vitamin c serum! Leaves my face feeling good, Will recommend to friends!",Kylie cosmetics,positive
Vitamin c serum,This is one of my new favorite to go to products Love this product,Kylie cosmetics,positive
Vitamin c serum,I bought this product a few months ago and I use it every day!! It is amazing and l definitely see a difference in my skin!!,Kylie cosmetics,positive
Vitamin c serum,Have always loved this vitamin C serum. Goes on so smoothly.,Kylie cosmetics,positive
Vitamin c serum,I’ve been using this for about a month now & I could totally see the difference. Very impressed:),Kylie cosmetics,positive
Vitamin c serum,I have tried countless vitamin C serums and this is by far the best. It’s more of a lotion and not sticky like some.,Kylie cosmetics,positive
Vitamin c serum,Excellent product!! I use it daily. My skin feels and looks amazing!,Kylie cosmetics,positive
Vitamin c serum,"Great purchase, this was my first time using it, definitely was happy with the way it feels on my face",Kylie cosmetics,positive
Vitamin c serum,"This is another amazing product. I use it in the am/pm with the Hyaluronic acid serum, my skin overall is dramatically better",Kylie cosmetics,positive
Vitamin c serum,Absolutely loved it after one week of trying this product,Kylie cosmetics,positive
Vitamin c serum,So refreshing on the face! Provides such a nice glow.,Kylie cosmetics,positive
Vitamin c serum,So Far I like it. I’ve only been using it for a few days.,Kylie cosmetics,positive
Vitamin c serum,"I love it. I first I use my Kylie face wash, Then my Kylie Vanilla milk toner, Then i apply the Kylie Vitamin C serum",Kylie cosmetics,positive
Vitamin c serum,Hydrating and amazing! A great combo for spring an summer and really all year long!,Kylie cosmetics,positive
Vitamin c serum,I adore Kylie skin Care line I’ve been using it for years. Amazing products she’s got a great skin care and I use it on a daily basis. ,Kylie cosmetics,positive
Vitamin c serum,I didn't know the effects of vitamin c on my skin. But oh my has it brighten my face! People tell me all the time that I'm glowing!,Kylie cosmetics,positive
Vitamin c serum,I got this with a whole set of products and it ran out quickly compared to all the other products.,Kylie cosmetics,positive
Vitamin c serum,I have been looking for a Vitamin C Serum and absolutely love this one!! I take good care of my skin but noticed a difference in how my face looks and feels smoother. ,Kylie cosmetics,positive
Vitamin c serum,"For the price, this is a really good serum. I do notice a difference when I use it. My face looks more smooth and dewy",Kylie cosmetics,positive
Vitamin c serum,"it's literally one of the best products, my skin feels so hydrated and it smells SO good",Kylie cosmetics,positive
Vitamin c serum,"This is the C Serum. I tried many companies serum. Finally, I found my favorite serum!!Fit my skin well.",Kylie cosmetics,positive
Vitamin c serum,ABSOLUTELY LOVE! So refreshing & hydrating on my skin. I've tried everything during pregnancy to help my skin stay hydrated and clear & fresh.,Kylie cosmetics,positive
Vitamin c serum,I love this serum. It feels lovely on my skin and freshens up my complexion.,Kylie cosmetics,positive
Vitamin c serum,This serum is a MUST HAVE! Buy it u will not regret it! It does everything it has promised. I’m in loveeeee and obsessed with this serum.,Kylie cosmetics,positive
Vitamin c serum,My staple product! A must have! You need one! ,Kylie cosmetics,positive
Vitamin c serum,This is one of the most hydrating Vitamin C serums that I have used (and I have tried A LOT) from both super expensive to drugstore options. ,Kylie cosmetics,positive
Vitamin c serum,"Hi, I am from Italy, I have been using it since 2 weeks, The texture of the liquid is not sticky, it is soft and smoothly indulge into the skin. I love this product",Kylie cosmetics,positive
Vitamin c serum,I bought this as an extra. I had my doubts but it makes my skin look so bright.,Kylie cosmetics,positive
Vitamin c serum,"This vitamin c serum is the best one I’ve used so far. A little goes along way, and I love the smell. It makes my skin fell so nice and it glows!",Kylie cosmetics,positive
Vitamin c serum,I fell in love with this vitamin C serum keeps even skin tone and has really helped my skin look better,Kylie cosmetics,positive
Vitamin c serum, started using vitamin C serum 8 months ago specifically this serum and my complexion has changed for the letter!,Kylie cosmetics,positive
Vitamin c serum,Love this product! I’ve only been using it a week and I already notice a difference in the brightness of my skin. ,Kylie cosmetics,positive
Vitamin c serum,"Perfect. This serum has a skin loving consistency, a beautiful scent; it has transformed my skin!",Kylie cosmetics,positive
Vitamin c serum,Best hydration products I have ever tried! In love,Kylie cosmetics,positive
Vitamin c serum,"I love taking care of my skin, and I think the vitamin c helps my skin, but I heard this is not great for acne skin. Try it",Kylie cosmetics,positive
Vitamin c serum,"My favorite brand for skin care, it does not irritate, it absorbs quickly. not greasy. works for all skin types. recommended",Kylie cosmetics,positive
Vitamin c serum,"I haven’t used this long enough to notice a major difference, but from what I can see my skin feel soft and really refreshing",Kylie cosmetics,positive
Vitamin c serum,"Simply incredible, I loved it and it worked very fast. My face needed it",Kylie cosmetics,positive
Vitamin c serum,This product makes my skin feel so fresh and healthy I highly recommand it,Kylie cosmetics,positive
Vitamin c serum,Love the vitamin C. To me is has the best packaging. You dont have to worrie about closing it quickly! Love all the products!!!,Kylie cosmetics,positive
Vitamin c serum,The only serum that has ever been able to control my redness,Kylie cosmetics,positive
Vitamin c serum,this is the best feeling product!!! its so soft and lightweight!! i use this before bed each night and my face feels so good in the morning!!,Kylie cosmetics,positive
Vitamin c serum,This product works really good I put it on every night and I’ve noticed that my face has been hydrated every single day.,Kylie cosmetics,positive
Vitamin c serum,I love Kylie’s Vitamin C Serum. I could feel my face soft texture. That nice beautiful look is just so amazing your skin can feel.,Kylie cosmetics,positive
Vitamin c serum,I absolutely love this and it feels wonderful on my skin and it’s lite which I love.,Kylie cosmetics,positive
