product,comment,website,label
matte liquid lipstick,"I LOVE THIS!!! The color is super pretty, perfect for everyday at the office.",kylie cosmetics,positive
matte liquid lipstick,I love these lipsticks. It’s so cute I use it everyday lasts very long too.,kylie cosmetics,positive
matte liquid lipstick,"Love. I never been a matte lip girl until now I absolutely love how they feel 
and look and how they wear for a long time. I ordered 6 shades lol.",kylie cosmetics,positive
matte liquid lipstick,"One of the best. I have bought so many of this red and I'm not even
 ashamed, it's literally the best red ever.",kylie cosmetics,positive
matte liquid lipstick,"Transfer proof. Even though I just had a sample this definitely impressed
 me, the texture is super smooth and not sticky. It stays on your lip and 
only on your lips, which means no transfer at all, for the amount you get
 in the packaging it’s definitely worth the money.",kylie cosmetics,positive
matte liquid lipstick,"Stay great. The color is so pretty. Love this shade, highly recommend!",kylie cosmetics,positive
matte liquid lipstick,Best formula. Non drying liquid lipstick. Couldn’t ask for anything more.,kylie cosmetics,positive
matte liquid lipstick,"LOVE IT!!!! Love these matte liquid lipstick. It is my go to color when I go
 out with friends or a date night.",kylie cosmetics,positive
matte liquid lipstick,"Stunning shade. The formula of these is incredible! They will forever be
 my go to for matte lipsticks.",kylie cosmetics,positive
matte liquid lipstick,Perfect matte lipstick. Love the color and texture. Long wear perfect for vapers or straw drinkers.,kylie cosmetics,positive
matte liquid lipstick,"Kylie Matte Lipstick. That Kylie matte lipstick is a real winner! Great color, & it lasts a long time. I appreciated the little ""extras"" I got from the company, too, also the careful packaging.",kylie cosmetics,positive
matte liquid lipstick,Awesome texture. Bought this a few months ago and absolutely love it.,kylie cosmetics,positive
matte liquid lipstick,Dolce the best nude shade. Dolce turned out to be my favorite nude color I like.,kylie cosmetics,positive
matte liquid lipstick,Love. The color is so natural feeling and looking. One wish is this color.,kylie cosmetics,positive
matte liquid lipstick,My fav lipstick! This is honestly the ONLY lipstick that I repeatedly buy. Can't get enough of it!,kylie cosmetics,positive
matte liquid lipstick,Amazing. Very nice and long lasting and covers all my lip lines and is very very pigmented.,kylie cosmetics,positive
matte liquid lipstick,"A win all around. Love the Matte liquid lipstick I bought, definitely a must have. I’m obsessed, I spend a lot of money on lipsticks because I have very large lips and it takes a lot more for me but the lipstick actually stays in all day and I lick my lips a lot and still color doesn’t fade. I have saved so much with this line truly remarkable and my lips stays hydrated and not dried out is the best part for me, I’m dark skin so a lot of nudes in my color makes my lips look dry but not Kylie’s line and it’s really great to find something spot on to what my needs are.",kylie cosmetics,positive
matte liquid lipstick,Great Lipstick. The Mary Jo K shade is such a great shade! I get so many compliments and it is such a comfortable wear. It feels like there’s nothing there and stays on for a long time. Highly recommend!,kylie cosmetics,positive
matte liquid lipstick,"La textura es suave y con una fragancia muy sutil. Este ha sido el primer labial de muchos que comprare de Kylie, me encanto su textura y que no se transfiere.",kylie cosmetics,positive
matte liquid lipstick,Beautiful color! So lightweight on the lips and a perfect color for anytime!,kylie cosmetics,positive
matte liquid lipstick,Yes. Love her lipsticks they stay put once you put them on.,kylie cosmetics,positive
matte liquid lipstick,Fav. Mary jo k is my favorite color out of the line! The true brown.,kylie cosmetics,positive
matte liquid lipstick,"Stunning!!! Love the liquid lipstick, it lasts for so long and looks beautiful. Wouldn’t buy from any were else now.",kylie cosmetics,positive
matte liquid lipstick,"Lasts all day! I got the matte lipstick apricot, such a pretty color and lasts all day!",kylie cosmetics,positive
matte liquid lipstick,Love it!!! I love the color it’s perfect and stays on for the whole day!,kylie cosmetics,positive
matte liquid lipstick,Can’t live without it. Silky smooth and matte for a perfect coverage for gourss!!!,kylie cosmetics,positive
matte liquid lipstick,Was so perfect on my lips and made me confident. I was looking into buying these lipsticks for a while and I am so glad I ended up purchasing. I now own over 7 lip kits and a lot more liquid lipsticks each and every shade is so perfect and will look good on literally anyone.,kylie cosmetics,positive
matte liquid lipstick,Love it. The shade is perfect & the consistency is next level - my go to lip product that will stay put all day!,kylie cosmetics,positive
matte liquid lipstick,"Matte liquid lipstick candy K. I bought candy k and it was amazing, well worth the money.",kylie cosmetics,positive
matte liquid lipstick,"Love Candy K. Just tried this color, love it! Good for everyday!",kylie cosmetics,positive
matte liquid lipstick,Great product for the older groupies. Matte applies on smooth and doesn’t dry out during wear.,kylie cosmetics,positive
matte liquid lipstick,Matte liquid lipstick coco k. Love it! Only two applications needed for a 12 hour day.,kylie cosmetics,positive
matte liquid lipstick,"Would recommend. I have used Kylie for the last 3 Years but this by far is my favorite Kylie color it perfect for summer, and I can’t say enough how much I love the formula.",kylie cosmetics,positive
matte liquid lipstick,"Best lipsticks. I bought two of these and they are very long wearing which I like. Don’t have to reapply throughout the day, while at work. Ordering 3 more shades; easy to apply, nice smooth look and nice shades. Doesn’t dry out the lips either. My favorite lipstick by far. ??",kylie cosmetics,positive
matte liquid lipstick,Unbelievable. Outstanding results of the liquid lipstick...must try ...so happy!!!,kylie cosmetics,positive
