Product,Comment,Website,Label
eye cream,"Eye creams never work for me as I have very “baggy” under eyes, this eye
 cream not only reduces the bags but also gives instant brightness to my
under eyes. It gives me a fresh awake look.",kylie cosmetics,positive
eye cream,"Thick and creamy product with great ingredients that brighten, hydrate,
 reduce the look of puffiness. Longterm this product does a great job
combating fine lines and wrinkles",kylie cosmetics,positive
eye cream,"I bought this recently and I am in love with it!Just overnight I could tell a
difference in the underneath of my eyes. I highly suggest!",kylie cosmetics,positive
eye cream,It realy makes brighter around the eyes.I recommend it.,kylie cosmetics,positive
eye cream,"i had it, It was so amazing i loved it it really did brighten my eyes!!",kylie cosmetics,positive
eye cream,I got this a few weeks ago as a sample and i just absolutely loved it and got the full size one!!,kylie cosmetics,positive
eye cream,"I have dark under eyes and this product is amazing, and the more I use the product the better and brighter my eyes look. This really works wonders.",kylie cosmetics,positive
eye cream,I bought this product in hopes it would brighten the area around my eyes and it did! I have recommended this product to so many people.,kylie cosmetics,positive
eye cream,"Been using for a few months, it’s amazing. I love the tint so it instantly brightens my eyes unlike other eye creams but also brightens them over time.",kylie cosmetics,positive
eye cream,You feel it working as soon as you rub it under your eyes. My eyes have been looking so much better since i use this. I cant go without now,kylie cosmetics,positive
eye cream,I love the eye cream. I really feel like it works with any puffy eyes or dark circles.,kylie cosmetics,positive
eye cream,purchased this eye cream when it first came out and have been repurchasing ever since! I have really bad dark circles and this really help to brighten up my under eyes!!,kylie cosmetics,positive
eye cream,I bought this about a year ago and i still have it and it’s about half way gone. I use it as my morning wake up routine and it makes my under eye area feel great it’s smooth and it makes me look wide awake once i put it on,kylie cosmetics,positive
eye cream,You start feeling it working right away! Also thanks for a lot of gift samples,kylie cosmetics,positive
eye cream,I am really impressed with this product! Im 57 years old and it moisturizes and blurs the undereye area while still being sheer coverage. It really helps under concealer to smooth it all out under my eyes. Excellent along with all her other beautiful items!,kylie cosmetics,positive
eye cream,"I love this eye cream! I'm so self conscious about my under eye circles, and about how tired my eyes always look. I can tell that its working right away. Will definitely purchase more!",kylie cosmetics,positive
eye cream,I love this eye cream it’s the best I love the applicator it was very helpful getting to close around the areas I can’t do with my fingers. Although when I do it with my fingers I can feel how nice the product is and it’s just so creamy,kylie cosmetics,positive
eye cream,I love how my friends notice a glow on my face everytime I use this eye cream! This is the best eye cream I have ever used. My savings to buy this product go to waste.,kylie cosmetics,positive
eye cream,I have consistently bought this eye cream for years now and I'm always very happy with it. I love that it has a thick texture to it to ensure hydration,kylie cosmetics,positive
eye cream,"I LOVE THIS PRODUCT, as soon as you put it under your eyes you could see the difference and how brighting it makes it right away, this is my go too cream eye whenever I go and I love how smooth it leaves your under eye",kylie cosmetics,positive
eye cream,I loveeee it!! Brightness my under eyes you just have to trust me! It does its job!!,kylie cosmetics,positive
eye cream,"Love this stuff! First tried it on a day that I had dark circles, and it immediately lightens them up in front of your eyes! I think there is some caffeine in this as well, so helps you feel awake. Def buying again!",kylie cosmetics,positive
eye cream,Great product. If really brightens up and moisturizes under my eyes!,kylie cosmetics,positive
eye cream,"Lightweight, creamy and moisturizing - love this under eye cream",kylie cosmetics,positive
eye cream,Comes in a banana color that’s great for darkness under eyes. Decreases puffiness too,kylie cosmetics,positive
eye cream,"This eye cream brightens my eyes. As soon as I apply it, I feel and see a glow.",kylie cosmetics,positive
eye cream,"Tingles upon application, but that means it’s working. I don’t need to use eye primer for my makeup using this",kylie cosmetics,positive
eye cream,Second time purchasing Kyle's eye cream love how you can apply without putting the cream on your finger. Doesn't feel greasy when you put it on.,kylie cosmetics,positive
eye cream,"I love this eye cream, it instantly brightens my eyes and makes me look not so tired in the morning. I didn’t even know I needed it until I tested it at Ulta! It works very nicely",kylie cosmetics,positive
eye cream,Got it specifically for my black round under my eyes and didn’t want to use makeup. It’s so nice to touch and does the work,kylie cosmetics,positive
eye cream,This is one of the kylie skin products I will continue to buy it helps my tired eyes in the morning look more awake.,kylie cosmetics,positive
eye cream,"this product is so, so gentle around the eyes and it really makes my eyes look better when waking up early in the mornings, as well as making me feel refreshed and ready for the day",kylie cosmetics,positive
eye cream,I absolutely love this eye cream. I don’t get much sleep and this helps with puffiness and under eye circles. You can clearly see a difference from before I was using this.,kylie cosmetics,positive
eye cream,I bought an extra one it’s my favorite. So hydrating under the eyes!,kylie cosmetics,positive
eye cream,Nice and hydrating eye cream. I like the applicator. Nice amount of product.,kylie cosmetics,positive
eye cream,I absolutely love this under eye cream! It really works!,kylie cosmetics,positive
eye cream,Works quite fast and love how it glides on. This always works when I want to look my best!,kylie cosmetics,positive
eye cream,"Everything Kylie is Amazing .. never disappointed!! Wears so well , thank u",kylie cosmetics,positive
eye cream,Love this eye cream. Bring a nice glow to my under eye,kylie cosmetics,positive
eye cream,"I was hesitant to get this product at first but, once I used it a few times It worked wonders! I no longer have dark circles under my eyes. I would definitely recommend this product!",kylie cosmetics,positive
eye cream,I love Kylie products. This particular cream I apply after a shower. My eye wrinkles look less!! Love it!,kylie cosmetics,positive
