Product,Comments ,Website,Label
Velvet Liquid Lipstick,"beautiful shade
In love with this! Honestly came so quickly, packaging is gorges",kylie cosmetics,positive
Velvet Liquid Lipstick,"would buy more colors from this site and collect.
This lipstick was a very pretty color that I love.",kylie cosmetics,positive
Velvet Liquid Lipstick,"my favorite lipstick ever!!
This was the first lipkit I ever bought myself and it became my favorite lipstick color ever. Always get compliments on it and asked what I’m wearing!! And the velvet formula is so much more comfortable than the matte formula",kylie cosmetics,positive
Velvet Liquid Lipstick,"perfext
My favourite lipstick ever. Does not dry out your lips, finishes in a nice Matt colour that feels like a second skin. The lip liner is also very soft and smooth on your lips. Would highly recommend. Much better than other brands in",kylie cosmetics,positive
Velvet Liquid Lipstick,"say no more
Love this true, bright pink color and it’s long lasting.

",kylie cosmetics,positive
Velvet Liquid Lipstick,"amazing!
This lip kit is amazing! It goes on smooth & stays on all day. I love it!",kylie cosmetics,positive
Velvet Liquid Lipstick,"great item and i want more of them.
I love these and I have every colour. The only lip products I would wear.",kylie cosmetics,positive
Velvet Liquid Lipstick,"i love it!
I've had so many complements on this lip kit. It dries down enough that it lasts, but not to much that it looks dry or matte. It does need a few re-applications if you are eating and drinking, but I'd expect that with all lipsticks anyway if you want to keep a fresh look!",kylie cosmetics,positive
Velvet Liquid Lipstick,"love!!
Gorgeous colour and very long lasting without drying out your lips",kylie cosmetics,positive
Velvet Liquid Lipstick,"excellent
excellent outcome...great purchase...must try...!!!",kylie cosmetics,positive
Velvet Liquid Lipstick,"smooth
Beautiful and super soft. I love the color. It's one of my new favs. The liner and the lip stick goes on smooth and stays for more than half the day!",kylie cosmetics,positive
Velvet Liquid Lipstick,"this is my favourite lip kit yet! gorgeous ??
My favourite kit yet, lips feel amazing and give a fab finish!",kylie cosmetics,positive
Velvet Liquid Lipstick,"The best ...
The best coral like colour I've found and it's a stayer...100% thrilled",kylie cosmetics,positive
Velvet Liquid Lipstick,"10/10
10/10 I absolutely love this shade! It’s so pretty! ??",kylie cosmetics,positive
Velvet Liquid Lipstick,"kylie lip kit??
Super lasting, lip liner is so easy to apply even if you have dry lips, doesn’t break off the tip of the liner now matter how much pressure you add! Loveee using this lip liner with high gloss and plumping gloss or even lip butter!?",kylie cosmetics,positive
Velvet Liquid Lipstick,"gorgeous velvet lip kit
Absolute velvet texture. Very good application. 10/10

",kylie cosmetics,positive
Velvet Liquid Lipstick,"The most beautiful pink shade ever
This is the most beautiful shade of pink. I have been wanting to try this shade for so long. So I use the Try Me On. When I could actually see what the shade would look like on me. I made the purchase. It’s even more beautiful than I had imagined. ?? I also got a Sample of Kylie’s COSMIC Perfume. That’s how you make a sale.",kylie cosmetics,positive
Velvet Liquid Lipstick,"super
This lipt kit are super, i like it very much and its long lasting",kylie cosmetics,positive
