Product,Comment,Website,Label,sentiment
Eyeshadow palettes,beautiful colour find hard find colour suit dark brown eye colour nice pallette keep getting asked get make eye look nice,kyliecosmetics,positive,1
Eyeshadow palettes,perfect basic ! im warm neutral girly color go great skin tone ! use palette every day . blend well wash face come .,kyliecosmetics,positive,1
Eyeshadow palettes,love pallet colour love blend everyday pallet love,kyliecosmetics,positive,1
Eyeshadow palettes,lovely palette best eyeshadow palette ever . many different colour choose,kyliecosmetics,positive,1
Eyeshadow palettes,"def recommend every day color go anything . hurry , perfect . wan na take time look great ? perfect . mirror course , good palette . earth tone neutral . blend well together",kyliecosmetics,positive,1
Eyeshadow palettes,best best eyeshadow palette soft light texture color need . recommend,kyliecosmetics,positive,1
Eyeshadow palettes,good,kyliecosmetics,positive,1
Eyeshadow palettes,cant return refund love color similar kim palette liked white/beige color brown colored shadow matter much u put color wont show dark r good able return refund order palette perfume,kyliecosmetics,positive,1
Eyeshadow palettes,"must matte palette love eyeshadow palette create different look day evening ! personally , shimmer n't work well , like 's hard find good shadow matte . thank , kylie !",kyliecosmetics,positive,1
Eyeshadow palettes,"love understatement ! love love love classic matte pallet ! color gorgeous variety ! love experimenting different matte brown shade . apply natural yet simple look dramatic/sexy look depending mood time day . love smooth matte natural look , eyeshadow must !",kyliecosmetics,positive,1
Eyeshadow palettes,"love amazing colour work well together & blend well loving formula , new go palette",kyliecosmetics,positive,1
Eyeshadow palettes,swear use time promise use every single day . perfect shade everyday makeup !,kyliecosmetics,positive,1
Eyeshadow palettes,literally best literally best color . super pigmented dont use ton product get look !,kyliecosmetics,positive,1
Eyeshadow palettes,great ! ! eyeshadow extremely smooth blendable .,kyliecosmetics,positive,1
Eyeshadow palettes,"perfect love palette smooth high quality , love every day natural look",kyliecosmetics,positive,1
Eyeshadow palettes,perfect go palet every day pallet use eyebrow well . color perfect every day makeup look blend great .,kyliecosmetics,positive,1
Eyeshadow palettes,stay put . definitely recommend love n't come easily . n't leave behind lipstick .,kyliecosmetics,positive,1
Eyeshadow palettes,eyeshadow pallet matte love eyeshadow palate ordered online cake quickly its literally best ordered product well still bunch product love kylies product,kyliecosmetics,positive,1
Eyeshadow palettes,"powder easy work & blend , pigmentation good , everything wear well drier skin - kick-up dip brush pan , something never really bother long powder apply & perform well , .",kyliecosmetics,positive,1
Eyeshadow palettes,love ! bought military dining worked amazing . everything blended beautifully got many compliment makeup ! !,kyliecosmetics,positive,1
Eyeshadow palettes,"quality really nice , price bit overpriced .",kyliecosmetics,positive,1
Eyeshadow palettes,"perfect set bought palette month ago its palette use . necessary color perfect natural look ! love use darker color make smoky eye . doesnt crease , full pigment ! long lasting ! highly recommend !",kyliecosmetics,positive,1
Eyeshadow palettes,pigmented bought month ago one first eyeshadow palette wanted go simple natural palette love much ! creamy pigmented easy nice simple look make dramatic well ! perfect palette .,kyliecosmetics,positive,1
Eyeshadow palettes,"best neutral matte eye palette havent used eye palette yet color pretty , neutral everyone wear shadow love smoky eye . wont disappoint .",kyliecosmetics,positive,1
Eyeshadow palettes,shade perfect pigment great loveee simple go pallet everyone purchase !,kyliecosmetics,positive,1
Eyeshadow palettes,liked alot amazing - highly recommend . soothing mositurizing .,kyliecosmetics,positive,1
Eyeshadow palettes,"pleasantly surprised . 'm social follower , 'm single mom asked eyeshadow christmas mom asked affordable . since divorce , able buy thing loved . hard , choose divorce cps called ex aggressive behavior towards u .",kyliecosmetics,positive,1
