product,comments,website,Label,sentiment
kylie Highlighter,brow .snatched totally make difference brow . cant go back highlighting brow . worth !,kylie cosmetics,positive,1
kylie Highlighter,love best highlighter ive used brow stay day,kylie cosmetics,positive,1
kylie Highlighter,"highlighter obsessed ! love highlighter ! absolutely gorgeous go soooo smooth ! ! ! shine , god its stunning ! really see highlight shimmer . shocked first tried . couldnt believe shimmer accentuated brow . kylie really goat come brow . forever purchasing highlighter im different shade well !",kylie cosmetics,positive,1
kylie Highlighter,easy blend . love . 's creamy easy blend little go long way !,kylie cosmetics,positive,1
kylie Highlighter,"great highlight stick love - give beautiful highlight brow bone allows precise application . apply smudge bit small eyebrow brush . make eyebrow look put together ! also use inner corner , tip nose etc",kylie cosmetics,positive,1
kylie Highlighter,loved loved kylie product . buy alot product kylie never disappoint,kylie cosmetics,positive,1
kylie Highlighter,love color love look give eyebrow ! easily applied . love auburn shade always hard time usually make red perfect shade,kylie cosmetics,positive,1
kylie Highlighter,"best eyebrow pencil ! love eyebrow pencil , go smoothly easy blend . eye lid kind different color rest face eyebrow pencil perfectly matched everything . highly recommend ! !",kylie cosmetics,positive,1
kylie Highlighter,perfect really nice . used also pencil eye hard,kylie cosmetics,positive,1
kylie Highlighter,"princess please awesome bought 's everyday go use every day.on makeoffs , look great.the color amazing.i would charge soon possible",kylie cosmetics,positive,1
kylie Highlighter,"pretty , shine ! cant wait wear day rose gold really pretty color . go lot .",kylie cosmetics,positive,1
kylie Highlighter,princess please ! perfect pink princess ? ? perfect shade highlighter,kylie cosmetics,positive,1
kylie Highlighter,love im love product . packaging super minimal also bright accent drawing eye product . scent product always nice see . texture nice creamy chalky like highlighter .,kylie cosmetics,positive,1
kylie Highlighter,"pigmented beyong belief perfect winter shade highlighter , applies smoothly doesnt lift makeup underneath . super pigmented glodes easily . packaging great travel !",kylie cosmetics,positive,1
kylie Highlighter,"suit people simple like natural glow highlighter far one best give natural glow ,",kylie cosmetics,positive,1
kylie Highlighter,icy glow let talk shimmer ! new daily glow companion,kylie cosmetics,positive,0
kylie Highlighter,"natural glow high quality first kylie product gotten , shocked high quality , pleasant packaging product .",kylie cosmetics,positive,1
kylie Highlighter,nice bought week ago really loved ? ? its expected nice quality lighting,kylie cosmetics,positive,1
kylie Highlighter,cute pigmented ! give dewy glow ish look skin ! great use high liter even base mixed sunscreen shiny tint summer !,kylie cosmetics,positive,1
kylie Highlighter,"pigmented easy blend highlighter sooo pretty . gifted sister olive toned skin thought would look best , ! ! its really blendable pigmentation good ! texture soft smooth !",kylie cosmetics,positive,1
kylie Highlighter,glow ! omg . everyone know love highlighter . kylie highlight pigmented . would love,kylie cosmetics,positive,1
kylie Highlighter,bester highlighter auf dem markt ! ! schönstes packaging ever ! ! ! die textur de highlighter ist sehr geschmeidigt und da endergebnis perfekt . da ist absolut mein lieblingshighlighter . man kann ihn perfekt verblenden und der sonne sieht er noch besser au ? ?,kylie cosmetics,positive,0
kylie Highlighter,amazing ! amazing highlighter . shimmery 's gorgeous sunlight . need tiny little amount definitely last good .,kylie cosmetics,positive,1
kylie Highlighter,"pigmented illuminating face tried pink shade highlighter gave nice finish make , doesnt feel heavy . colour appearing shiny . recommend !",kylie cosmetics,positive,1
kylie Highlighter,"good powder kylie cosmetic ice kylighter illuminating powder excellent choice want multi-purpose highlighter used various part face , cheek , nose , cupid 's bow .",kylie cosmetics,positive,1
kylie Highlighter,"kylie ice highlighter okey best still amazing . formula applies really nicely , n't patch dry skin showcase textured skin packaging blendability product amazing .",kylie cosmetics,positive,1
kylie Highlighter,great highlighter bought highlighter store used formal smooth soft . color amazing its nice like goldfish color .,kylie cosmetics,positive,1
kylie Highlighter,? ? ? ? ? ? plz take money ? ? ? ? ? ? im love used since released put everyone love packaging small compact hold much product .,kylie cosmetics,positive,1
kylie Highlighter,best highlighter ! love enough shimmer last day long .,kylie cosmetics,positive,1
kylie Highlighter,"best highlighter ever ! pretty , glowing long lasting highlighter . ive used different highlighter brand best !",kylie cosmetics,positive,1
kylie Highlighter,best highlight ever ! highlight hand favorite ! ! ! packaging blendability product amazing ! ! ! bright pigmentation fav ! ! !,kylie cosmetics,positive,1
kylie Highlighter,"favorite highligther ! used highlighter since first came . long ago , n't even remember ! lasted long highlighter wear ! totally recommend !",kylie cosmetics,positive,1
kylie Highlighter,"love highlighter love kylie cosmetic kylighter . intense pigmentation long-lasting glow make standout product makeup routine . though packaging feel bit cheap price , quality variety shade justify cost . highly recommended anyone seeking radiant highlight .",kylie cosmetics,positive,1
kylie Highlighter,really shine highlighter love shine highlighter easy go face . texture amazing doesnt feel weird face . packaging nice easy use .,kylie cosmetics,positive,1
kylie Highlighter,great highlight bought ulta absolutely love . its favorite highlighter month its perfect shade inner corner highlight .,kylie cosmetics,positive,1
kylie Highlighter,amazing amazing use every single day make look like million dollar thank kylie jenner .,kylie cosmetics,positive,1
kylie Highlighter,"amazingggg bought multiple time never failed absolutely love much , also last ! ! !",kylie cosmetics,positive,1
kylie Highlighter,best highliter got month ago birthday since use highliter every day ! ! ! best,kylie cosmetics,positive,1
kylie Highlighter,"favorite highlighter ! favorite highlighter , pigmentation perfect . texture feel amazing , love swatch packaging super cute !",kylie cosmetics,positive,1
kylie Highlighter,"pretty radiant finish , providing subtle glow enhance complexion . come various shade , allowing choose one complement skin tone .",kylie cosmetics,positive,1
kylie Highlighter,"super glowy bought last month used everyday ever since , super nice color go well makeup look !",kylie cosmetics,positive,1
kylie Highlighter,"amazing love love love product . its shiny look good skin . blend makeup well , pigment stunning . smooth application packaging simple yet chic !",kylie cosmetics,positive,1
kylie Highlighter,long lasting great illumination ! love kylie cosmetic ! hilighter really stand . apply cheekbone accentuates beautifully . give nice glow .,kylie cosmetics,positive,1
kylie Highlighter,best highlighter ive ever used seriously favorite highlighter ever . tried many brand none compare one . color beautiful skin tone & elevates makeup much ! cant get enough .,kylie cosmetics,positive,1
kylie Highlighter,pigment highlighter pretty feeling give put amazing use everyday pigmented sparkly . blend well foundation,kylie cosmetics,positive,1
