Product,Comment,Website,Label,sentiment
Lip Kit,"my favorite lipstick
Candy k is my go to! This is the only lipstick I consistently buy over and over and never let myself run out. Its the perfect nude for my skin",kyliecosmetics,positive,1
Lip Kit,"long lasting!
I absolutely love this Matte Lip Kit in Koko K. It's so long lasting and looks so smooth. One of my favorites and I will absolutely buy it again!",kyliecosmetics,positive,1
Lip Kit,"this is it!
I love this lip kit. It's smooth and stays on for hours!!",kyliecosmetics,positive,1
Lip Kit,"best lip kit for performance
I used these so much in show choir because of the competitions it need to last for a couple of hours",kyliecosmetics,positive,1
Lip Kit,"lovely shade
Love all her lippes kits Cant wait to try all the other shades ",kyliecosmetics,positive,1
Lip Kit,"worth everything
i absolutely loved this matte makeup i am not a big fan of glossy makeup and i just wanted the perfect matte lipstick. this is it",kyliecosmetics,positive,1
Lip Kit,"perfect nude
First time buying it and the comfort of the formula on the lips is everything. So lightweight and smooth feeling!",kyliecosmetics,positive,1
Lip Kit,"love it
Love the packaging and the scent, also is super easy to applicate, and good price is also a nice color, this is my favorite color, I do recommend it.",kyliecosmetics,positive,1
Lip Kit,"their products always work for me. i cant wait to
Really pretty color and looks so gorgeous on me yes",kyliecosmetics,positive,1
Lip Kit,"gorgeous
Amazing look. Very soft and easy to put in. Stays on for a long time",kyliecosmetics,positive,1
Lip Kit,"best lip product
I absolutely love this lip kit I bought the shade Kylie at ulta and fell in love my favorite shade are koko k and Kylie",kyliecosmetics,positive,1
Lip Kit,"definitely
Yes. Love all the lip kits she puts out. Have almost every shade.",kyliecosmetics,positive,1
Lip Kit,"perfect!
I absolutely LOVE these lip kits! It can be hard to find a good match for lip liner and lipstick but this takes out the hard part. I will eventually own every color!",kyliecosmetics,positive,1
Lip Kit,"great product!
Love this lip set super smooth and easy to apply amazing!!",kyliecosmetics,positive,1
Lip Kit,"great formula
Pretty color that stays put and looks great for hours.",kyliecosmetics,positive,1
Lip Kit,"very nice lip stick
So nice lip stick am happy I bought it nice nude colour.",kyliecosmetics,positive,1
Lip Kit,"lip kitsss!
cannot get enough lip kits! the combination is beautiful",kyliecosmetics,positive,1
Lip Kit,"amazing 1000000/10
one of the best lip products ive ever applied!! all day wear and gorgeous color range.",kyliecosmetics,positive,1
Lip Kit,"great purchase
Amazing goes on nice and smooth and lovely shade! Will deffo buy some more of the other shades!",kyliecosmetics,positive,1
Lip Kit,"this lip kit made my lips more beautiful and full
This is what i wanted My love kit, i cant use any other lipsticks",kyliecosmetics,positive,1
Lip Kit,"happy
Amazing lipstick. Full bottle of free Kylie Skin cleanser with purchase. Very happy",kyliecosmetics,positive,1
Lip Kit,"wonderful product!
I purchased two lip kits and I absolutely love them. The colors are stunning and the packaging is super cute. Will definitely purchase again.",kyliecosmetics,positive,1
Lip Kit,"must have!
Bold, beautiful, amd smudge proof! Best ever!!!!!!",kyliecosmetics,positive,1
Lip Kit,"love it
Its really pretty color definitely matte, can dry your lips out",kyliecosmetics,positive,1
Lip Kit,"stay all day
This product is amazing! It goes on smooth & Stays on all day",kyliecosmetics,positive,1
Lip Kit,"is cute
I really love but I feel we need more color on the formula.",kyliecosmetics,positive,1
Lip Kit,"dolce k matte lip combo
Love the matte lip combos it literally lasted me all night",kyliecosmetics,positive,1
Lip Kit,"matte lip kit - queen!!!
This is my favourite day to day shade that lasts pretty much all day!!",kyliecosmetics,positive,1
Lip Kit,"matte lip kit
I love this product, it doesnt dry my lips out and the wear is good.",kyliecosmetics,positive,1
Lip Kit,"love it!
Love this shade so cute! So excited to wear it. Love the light natural shade",kyliecosmetics,positive,1
Lip Kit,"best liquid lipstick
Always heard great things about the lip kits, and they didn't disappoint. In love with the shade and lasts so well",kyliecosmetics,positive,1
Lip Kit,"brand new lips
Love, love, love this set!!! I feel like I have brand new lips. Since I have started wearing it I am constantly getting compliments.",kyliecosmetics,positive,1
Lip Kit,"kylie shade lip kit
My favorite shade! Literally always repurchase when it runs out. Its such a beautiful, day or night color. Must have!",kyliecosmetics,positive,1
Lip Kit,"i wish she would make a color for me
I love my kits, I wish Kylie would make a color for me ",kyliecosmetics,positive,1
